,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,nation_drop,pos_drop,age_drop,born_drop,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected_drop,Expected_drop,Expected_drop,Expected_drop,Expected_drop,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Rafik Messali,FRA,DF,21,2003,13,5,456,5.1,0,1,1,0,0,0,0,0,0.3,0.3,1.0,1.3,13,21,29,0.0,0.2,0.2,0.0,0.2,0.05,0.2,0.25,0.05,0.25,FRA,DF,21,2003,5.1,0,4,0,0.0,0.79,0.0,0.0,,15.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,FRA,DF,21,2003,5.1,166,227,73.1,2756,890,81,95,85.3,65,89,73.0,13,23,56.5,1,1.0,1.0,0.0,11,15,8,3,21,FRA,DF,21,2003,5.1,15,8,6,6,3,7,8,87.5,1,9,1,8,10,25,12,0,FRA,DF,21,2003,5.1,298,12,71,132,100,12,298,9,4,44.4,5,55.6,155,897,454,13,7,5,16,12,176,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Rasmus Nicolaisen,DEN,DF,27,1997,7,7,623,6.9,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.7,3,27,2,0.0,0.14,0.14,0.0,0.14,0.06,0.03,0.1,0.06,0.1,DEN,DF,27,1997,6.9,0,5,0,0.0,0.72,0.0,0.0,,8.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,DEN,DF,27,1997,6.9,339,385,88.1,6199,2362,145,160,90.6,159,169,94.1,31,48,64.6,1,0.2,0.2,0.8,2,20,2,0,27,DEN,DF,27,1997,6.9,6,3,4,2,0,3,5,60.0,2,10,5,5,10,16,25,0,DEN,DF,27,1997,6.9,445,58,217,213,18,8,445,2,1,50.0,1,50.0,268,1220,626,3,0,0,1,2,289,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Shavy Babicka,GAB,"MF,FW",24,2000,30,11,1186,13.2,4,2,6,4,0,0,2,0,3.9,3.9,1.6,5.5,36,21,122,0.3,0.15,0.46,0.3,0.46,0.3,0.12,0.42,0.3,0.42,GAB,"MF,FW",24,2000,13.2,4,20,9,45.0,1.52,0.68,0.2,0.44,14.6,0,0,0,3.9,3.9,0.2,0.1,0.1,GAB,"MF,FW",24,2000,13.2,196,292,67.1,2616,643,118,155,76.1,60,85,70.6,5,15,33.3,2,1.6,1.9,0.4,13,8,13,5,21,GAB,"MF,FW",24,2000,13.2,21,12,6,11,4,10,21,47.6,11,14,0,14,3,24,4,3,GAB,"MF,FW",24,2000,13.2,428,4,46,145,252,53,428,37,11,29.7,21,56.8,273,1708,871,36,17,14,28,18,300,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Vincent Sierro,SUI,MF,28,1995,29,27,2402,26.7,5,1,6,3,2,2,4,0,4.2,2.7,3.6,6.3,15,147,27,0.19,0.04,0.22,0.11,0.15,0.16,0.14,0.29,0.1,0.24,SUI,MF,28,1995,26.7,5,30,7,23.3,1.12,0.26,0.1,0.43,20.6,2,2,2,4.2,2.7,0.09,0.8,0.3,SUI,MF,28,1995,26.7,1076,1372,78.4,19073,5824,462,533,86.7,502,589,85.2,89,190,46.8,1,3.6,3.6,-2.6,30,102,26,1,147,SUI,MF,28,1995,26.7,44,27,15,23,6,27,56,48.2,29,34,9,25,16,60,44,1,SUI,MF,28,1995,26.7,1646,68,386,904,369,37,1644,28,12,42.9,16,57.1,914,3573,1633,15,21,5,47,18,1074,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Warren Kamanzi,NOR,"DF,MF",23,2000,24,11,1022,11.4,1,1,2,1,0,0,3,0,1.3,1.3,1.0,2.2,29,33,62,0.09,0.09,0.18,0.09,0.18,0.11,0.08,0.2,0.11,0.2,NOR,"DF,MF",23,2000,11.4,1,7,2,28.6,0.62,0.18,0.14,0.5,12.3,0,0,0,1.3,1.3,0.18,-0.3,-0.3,NOR,"DF,MF",23,2000,11.4,399,481,83.0,5867,1419,215,238,90.3,158,182,86.8,13,23,56.5,1,1.0,0.5,0.0,12,27,8,0,33,NOR,"DF,MF",23,2000,11.4,29,13,12,12,5,14,28,50.0,14,7,3,4,9,38,25,0,NOR,"DF,MF",23,2000,11.4,613,22,113,304,202,27,613,29,16,55.2,12,41.4,332,1988,1037,29,17,9,15,15,349,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Yann Gboho,FRA,"MF,FW",23,2001,31,27,2333,25.9,5,4,9,5,0,0,2,0,5.4,5.4,3.5,8.9,116,103,189,0.19,0.15,0.35,0.19,0.35,0.21,0.14,0.35,0.21,0.35,FRA,"MF,FW",23,2001,25.9,5,50,26,52.0,1.93,1.0,0.1,0.19,15.8,0,0,0,5.4,5.4,0.11,-0.4,-0.4,FRA,"MF,FW",23,2001,25.9,478,644,74.2,6718,2050,280,334,83.8,154,195,79.0,19,32,59.4,4,3.5,4.1,0.5,30,53,28,0,103,FRA,"MF,FW",23,2001,25.9,31,18,7,15,9,14,35,40.0,21,20,0,20,6,37,4,1,FRA,"MF,FW",23,2001,25.9,953,5,84,402,494,124,953,122,50,41.0,66,54.1,690,4979,2956,116,74,37,66,50,709,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Zakaria Aboukhlal,MAR,"MF,FW",24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,MAR,"MF,FW",24,2000,21.1,7,62,26,41.9,2.94,1.23,0.1,0.23,14.6,0,1,2,10.2,8.6,0.14,-3.2,-2.6,MAR,"MF,FW",24,2000,21.1,221,349,63.3,2789,753,145,193,75.1,56,94,59.6,6,15,40.0,2,1.6,2.0,0.4,12,16,10,4,22,MAR,"MF,FW",24,2000,21.1,22,13,7,8,7,4,23,17.4,19,16,1,15,6,28,9,0,MAR,"MF,FW",24,2000,21.1,613,6,59,196,363,113,611,53,16,30.2,35,66.0,375,1923,880,34,24,19,64,26,450,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Álex Domínguez,ESP,GK,26,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP,GK,26,1998,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP,GK,26,1998,0.2,8,11,72.7,255,195,2,2,100.0,2,2,100.0,3,6,50.0,0,0.0,0.0,0.0,0,0,0,0,0,ESP,GK,26,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ESP,GK,26,1998,0.2,11,9,11,0,0,0,11,0,0,,0,,3,22,5,0,0,0,0,0,5,0,ESP,GK,26,1998,0.2,0,0,0,0,0,0.0,,0.0,0.0,2,5,40.0,8,1,25.0,30.0,3,100.0,69.3,7,0,0.0,0,0.0,
FRA-Ligue 1,2425,Toulouse,Ümit Akdag,ROU,DF,20,2003,9,6,500,5.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,4,29,9,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,ROU,DF,20,2003,5.6,0,2,0,0.0,0.36,0.0,0.0,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,ROU,DF,20,2003,5.6,274,348,78.7,4648,1667,122,144,84.7,137,152,90.1,13,39,33.3,0,0.1,0.1,-0.1,2,18,1,0,29,ROU,DF,20,2003,5.6,8,4,3,4,1,5,12,41.7,7,10,8,2,11,19,19,0,ROU,DF,20,2003,5.6,400,29,145,232,27,1,400,1,1,100.0,0,0.0,217,947,452,4,3,0,1,0,240,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,28,25,2109,23.4,9,2,11,9,0,0,4,0,4.7,4.7,1.2,5.9,59,61,102,0.38,0.09,0.47,0.38,0.47,0.2,0.05,0.25,0.2,0.25,FRA,"MF,FW",26,1998,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,20.5,1,0,0,4.7,4.7,0.08,4.3,4.3,FRA,"MF,FW",26,1998,23.4,543,655,82.9,8213,1411,292,342,85.4,205,229,89.5,31,44,70.5,2,1.2,1.9,0.8,21,38,21,5,61,FRA,"MF,FW",26,1998,23.4,41,26,12,15,14,17,34,50.0,17,16,0,16,15,56,8,1,FRA,"MF,FW",26,1998,23.4,994,13,112,479,431,64,994,90,42,46.7,40,44.4,619,4039,1888,59,47,9,85,50,727,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Arne Engels,BEL,"MF,FW",20,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,5,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,BEL,"MF,FW",20,2003,0.9,0,3,1,33.3,3.42,1.14,0.0,0.0,13.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4,BEL,"MF,FW",20,2003,0.9,19,27,70.4,195,57,14,16,87.5,2,3,66.7,0,3,0.0,0,0.0,0.0,0.0,0,2,0,0,1,BEL,"MF,FW",20,2003,0.9,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,BEL,"MF,FW",20,2003,0.9,32,1,1,14,17,2,32,1,0,0.0,1,100.0,17,75,38,1,3,0,0,0,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Arne Maier,GER,MF,25,1999,28,7,938,10.4,0,0,0,0,0,0,0,1,1.5,1.5,1.5,3.0,19,44,56,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.29,0.15,0.29,GER,MF,25,1999,10.4,0,18,6,33.3,1.73,0.58,0.0,0.0,24.3,3,0,0,1.5,1.5,0.08,-1.5,-1.5,GER,MF,25,1999,10.4,450,588,76.5,7914,2094,204,238,85.7,183,218,83.9,52,95,54.7,0,1.5,2.6,-1.5,25,40,10,3,44,GER,MF,25,1999,10.4,13,7,4,8,1,7,13,53.8,6,15,1,14,6,19,14,1,GER,MF,25,1999,10.4,699,16,103,327,275,21,699,16,7,43.8,9,56.3,390,1740,823,19,18,5,21,9,451,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Cedric Zesiger,SUI,DF,26,1998,15,15,1221,13.6,0,2,2,0,0,0,7,1,1.2,1.2,1.3,2.5,4,40,7,0.0,0.15,0.15,0.0,0.15,0.09,0.09,0.18,0.09,0.18,SUI,DF,26,1998,13.6,0,10,2,20.0,0.74,0.15,0.0,0.0,14.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2,SUI,DF,26,1998,13.6,455,579,78.6,8607,3229,175,195,89.7,237,269,88.1,40,89,44.9,2,1.3,1.1,0.7,7,45,6,4,40,SUI,DF,26,1998,13.6,13,7,7,6,0,8,13,61.5,5,17,10,7,21,34,96,1,SUI,DF,26,1998,13.6,771,101,341,371,61,9,771,4,1,25.0,3,75.0,398,1750,815,4,9,0,8,3,424,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Chrislain Matsima,FRA,DF,22,2002,30,28,2551,28.3,1,1,2,1,0,0,4,0,1.8,1.8,0.3,2.1,14,84,13,0.04,0.04,0.07,0.04,0.07,0.06,0.01,0.07,0.06,0.07,FRA,DF,22,2002,28.3,1,14,2,14.3,0.49,0.07,0.07,0.5,10.2,0,0,0,1.8,1.8,0.13,-0.8,-0.8,FRA,DF,22,2002,28.3,1139,1324,86.0,20152,6622,451,508,88.8,600,647,92.7,72,122,59.0,1,0.3,0.7,0.7,5,95,7,0,84,FRA,DF,22,2002,28.3,31,20,19,11,1,17,26,65.4,9,48,29,19,52,83,163,0,FRA,DF,22,2002,28.3,1669,229,700,846,138,24,1669,12,7,58.3,4,33.3,910,3558,1731,14,18,2,20,9,989,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Dimitris Giannoulis,GRE,DF,28,1995,31,31,2650,29.4,1,4,5,1,0,0,8,0,1.1,1.1,4.2,5.3,60,104,164,0.03,0.14,0.17,0.03,0.17,0.04,0.14,0.18,0.04,0.18,GRE,DF,28,1995,29.4,1,13,4,30.8,0.44,0.14,0.08,0.25,16.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,GRE,DF,28,1995,29.4,1076,1440,74.7,17973,7355,532,621,85.7,448,568,78.9,81,169,47.9,4,4.2,5.4,-0.2,42,71,55,23,104,GRE,DF,28,1995,29.4,47,32,27,16,4,26,44,59.1,18,49,11,38,47,94,75,0,GRE,DF,28,1995,29.4,1802,81,474,722,626,48,1802,82,29,35.4,48,58.5,845,4024,2189,60,37,12,49,13,968,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Elvis Rexhbeçaj,KVX,MF,26,1997,27,22,1785,19.8,1,1,2,1,0,0,8,0,1.4,1.4,1.1,2.5,31,94,82,0.05,0.05,0.1,0.05,0.1,0.07,0.05,0.13,0.07,0.13,KVX,MF,26,1997,19.8,1,29,5,17.2,1.46,0.25,0.03,0.2,20.2,1,0,0,1.4,1.4,0.05,-0.4,-0.4,KVX,MF,26,1997,19.8,469,670,70.0,7805,2278,225,275,81.8,194,251,77.3,37,82,45.1,1,1.1,2.0,-0.1,16,39,23,2,94,KVX,MF,26,1997,19.8,27,19,9,14,4,15,35,42.9,20,40,9,31,16,43,22,1,KVX,MF,26,1997,19.8,887,36,150,398,348,31,887,32,10,31.3,18,56.3,463,2042,978,31,26,8,31,25,539,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GER,GK,26,1998,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER,GK,26,1998,19.0,528,761,69.4,15853,11241,91,92,98.9,232,234,99.1,204,432,47.2,0,0.0,0.1,0.0,0,11,0,0,3,GER,GK,26,1998,19.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,9,0,GER,GK,26,1998,19.0,811,553,790,21,0,0,811,0,0,,0,,479,2439,1355,0,0,0,0,0,426,0,GER,GK,26,1998,19.0,19,2,0,3,2,24.2,0.29,7.2,0.38,129,341,37.8,614,51,38.6,34.9,145,71.7,53.2,337,9,2.7,26,1.37,14.7
GER-Bundesliga,2425,Augsburg,Frank Onyeka,NGA,MF,26,1998,31,30,2586,28.7,0,1,1,0,0,0,8,0,1.4,1.4,1.3,2.7,46,106,71,0.0,0.03,0.03,0.0,0.03,0.05,0.04,0.09,0.05,0.09,NGA,MF,26,1998,28.7,0,24,6,25.0,0.84,0.21,0.0,0.0,20.3,0,0,0,1.4,1.4,0.06,-1.4,-1.4,NGA,MF,26,1998,28.7,852,1019,83.6,13719,3131,423,476,88.9,349,393,88.8,57,86,66.3,1,1.3,2.0,-0.3,17,70,12,5,106,NGA,MF,26,1998,28.7,58,45,22,28,8,22,40,55.0,18,36,9,27,36,94,36,2,NGA,MF,26,1998,28.7,1339,60,244,766,354,37,1339,54,18,33.3,26,48.1,754,4272,1921,46,40,8,49,34,815,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Fredrik Jensen,FIN,MF,26,1997,20,9,763,8.5,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,16,20,58,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,FIN,MF,26,1997,8.5,0,11,0,0.0,1.3,0.0,0.0,,18.4,0,0,0,0.7,0.7,0.06,-0.7,-0.7,FIN,MF,26,1997,8.5,157,226,69.5,2651,686,84,106,79.2,54,70,77.1,16,24,66.7,0,0.7,0.6,-0.7,11,8,7,3,20,FIN,MF,26,1997,8.5,7,7,1,3,3,4,5,80.0,1,10,1,9,4,11,17,0,FIN,MF,26,1997,8.5,318,17,44,122,156,24,318,13,7,53.8,6,46.2,190,901,390,16,8,3,16,10,224,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Henri Koudossou,GER,DF,24,1999,21,4,748,8.3,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.9,19,23,48,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1,GER,DF,24,1999,8.3,0,2,0,0.0,0.24,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,GER,DF,24,1999,8.3,283,359,78.8,4431,1567,150,167,89.8,110,141,78.0,17,32,53.1,0,0.8,0.8,-0.8,10,10,12,6,23,GER,DF,24,1999,8.3,18,10,6,11,1,11,19,57.9,8,8,2,6,15,33,37,0,GER,DF,24,1999,8.3,469,32,134,189,148,12,469,17,8,47.1,8,47.1,220,1208,577,19,12,4,14,2,240,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Jeffrey Gouweleeuw,NED,DF,33,1991,33,33,2944,32.7,1,4,5,1,0,1,9,0,1.7,0.9,2.2,3.1,24,142,19,0.03,0.12,0.15,0.03,0.15,0.05,0.07,0.12,0.03,0.1,NED,DF,33,1991,32.7,1,17,4,23.5,0.52,0.12,0.06,0.25,19.8,0,0,1,1.7,0.9,0.05,-0.7,0.1,NED,DF,33,1991,32.7,1400,1694,82.6,29407,12623,417,477,87.4,779,852,91.4,193,321,60.1,4,2.2,3.0,1.8,14,151,22,2,142,NED,DF,33,1991,32.7,50,28,25,21,4,27,40,67.5,13,34,15,19,35,85,183,0,NED,DF,33,1991,32.7,2061,260,925,1000,152,42,2060,12,7,58.3,5,41.7,1169,6129,3400,24,24,1,19,6,1234,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Keven Schlotterbeck,GER,DF,27,1997,18,15,1297,14.4,3,1,4,3,0,0,4,1,0.8,0.8,0.6,1.4,3,59,2,0.21,0.07,0.28,0.21,0.28,0.05,0.04,0.1,0.05,0.1,GER,DF,27,1997,14.4,3,12,4,33.3,0.83,0.28,0.25,0.75,12.7,0,0,0,0.8,0.8,0.06,2.2,2.2,GER,DF,27,1997,14.4,577,683,84.5,11012,4463,213,230,92.6,308,337,91.4,53,106,50.0,1,0.6,0.5,0.4,7,40,3,1,59,GER,DF,27,1997,14.4,19,17,9,9,1,12,16,75.0,4,13,6,7,15,34,73,1,GER,DF,27,1997,14.4,845,101,395,394,59,19,845,3,3,100.0,0,0.0,424,1437,731,3,5,0,8,0,510,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Kristijan Jakić,CRO,MF,27,1997,31,27,2306,25.6,0,1,1,0,0,0,2,0,0.8,0.8,1.2,2.0,24,106,49,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,CRO,MF,27,1997,25.6,0,18,4,22.2,0.7,0.16,0.0,0.0,20.7,0,0,0,0.8,0.8,0.04,-0.8,-0.8,CRO,MF,27,1997,25.6,900,1085,82.9,15354,4552,434,499,87.0,357,400,89.3,86,114,75.4,1,1.2,1.8,-0.2,16,95,11,0,106,CRO,MF,27,1997,25.6,46,23,20,19,7,22,43,51.2,21,42,9,33,28,74,50,1,CRO,MF,27,1997,25.6,1361,74,322,790,263,34,1361,29,14,48.3,13,44.8,703,2978,1324,24,13,3,39,21,828,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Mads Pedersen,DEN,DF,27,1996,7,2,235,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,11,10,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,DEN,DF,27,1996,2.6,0,2,0,0.0,0.77,0.0,0.0,,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,DEN,DF,27,1996,2.6,70,90,77.8,1324,613,25,26,96.2,35,45,77.8,8,12,66.7,0,0.0,0.2,0.0,0,7,2,0,11,DEN,DF,27,1996,2.6,8,7,5,2,1,4,5,80.0,1,4,0,4,2,10,6,0,DEN,DF,27,1996,2.6,123,7,34,45,47,5,123,8,2,25.0,6,75.0,53,250,111,1,3,1,4,1,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Marius Wolf,GER,DF,29,1995,32,28,2144,23.8,1,3,4,1,0,0,2,0,0.7,0.7,3.2,3.9,36,117,95,0.04,0.13,0.17,0.04,0.17,0.03,0.14,0.16,0.03,0.16,GER,DF,29,1995,23.8,1,12,2,16.7,0.5,0.08,0.08,0.5,18.4,1,0,0,0.7,0.7,0.06,0.3,0.3,GER,DF,29,1995,23.8,826,1205,68.5,14566,6535,388,469,82.7,331,455,72.7,93,201,46.3,3,3.2,4.4,-0.2,45,76,25,13,117,GER,DF,29,1995,23.8,27,16,13,11,3,16,43,37.2,27,29,5,24,24,51,51,1,GER,DF,29,1995,23.8,1427,54,302,599,544,46,1427,43,19,44.2,22,51.2,627,2489,1362,36,19,8,25,16,769,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Maximilian Bauer,GER,DF,24,2000,11,8,658,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,30,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,GER,DF,24,2000,7.3,0,1,1,100.0,0.14,0.14,0.0,0.0,7.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,GER,DF,24,2000,7.3,275,340,80.9,5313,1982,97,111,87.4,143,162,88.3,34,61,55.7,0,0.1,0.1,-0.1,2,31,2,2,30,GER,DF,24,2000,7.3,14,8,5,7,2,9,14,64.3,5,10,4,6,6,20,35,1,GER,DF,24,2000,7.3,422,45,177,222,24,3,422,0,0,,0,,216,991,539,4,4,0,6,2,260,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Mergim Berisha,GER,FW,26,1998,2,0,40,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,0,8,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,GER,FW,26,1998,0.4,0,3,1,33.3,6.75,2.25,0.0,0.0,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,GER,FW,26,1998,0.4,6,9,66.7,54,2,6,6,100.0,0,3,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,GER,FW,26,1998,0.4,1,0,0,1,0,1,1,100.0,0,2,1,1,0,1,0,0,GER,FW,26,1998,0.4,18,1,1,8,9,3,18,0,0,,0,,11,71,34,2,0,1,2,3,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Mert Kömür,GER,MF,19,2005,20,5,654,7.3,2,1,3,2,0,0,1,0,1.1,1.1,1.5,2.6,18,11,46,0.28,0.14,0.41,0.28,0.41,0.16,0.2,0.36,0.16,0.36,GER,MF,19,2005,7.3,2,13,7,53.8,1.79,0.96,0.15,0.29,21.5,1,0,0,1.1,1.1,0.09,0.9,0.9,GER,MF,19,2005,7.3,159,221,71.9,2402,734,97,118,82.2,37,49,75.5,17,31,54.8,1,1.5,1.3,-0.5,13,3,2,1,11,GER,MF,19,2005,7.3,3,2,2,0,1,0,3,0.0,3,9,3,6,3,6,7,1,GER,MF,19,2005,7.3,313,8,43,123,151,17,313,22,12,54.5,7,31.8,185,1047,550,18,17,4,22,23,217,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
